exp_id,system,step_id,step_name,product_mix,automation_level,product_type,n_components,total_electricity,total_circularity,total_profit,total_revenue,total_cost,mean_electricity,mean_circularity,mean_profit,mean_revenue,mean_cost
exp012,system_02,5,FRONT_AXIS_GROUP,hd,a06,car_hd,40,5.2,3476.0,172978.4,173920,941.6,0.13,86.9,4324.46,4348.0,23.54
exp012,system_02,4,FT,hd,a06,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp012,system_02,5_2_2,RAX_HD,hd,a06,car_hd,40,0.0,3252.8,34794.0,34800,6.0,0.0,81.32,869.85,870.0,0.15
exp012,system_02,5,REAR_AXIS_GROUP,hd,a06,car_hd,40,0.0,11216.0,173914.0,173920,6.0,0.0,280.4,4347.85,4348.0,0.15
exp012,system_02,3,RT,hd,a06,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp012,system_02,5_1_1,SSA,hd,a06,car_hd,80,9.6,195.2,27595.2,29200,1604.8,0.12,2.44,344.94,365.0,20.06
exp013,system_02,2,BAT,balanced,a00,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp013,system_02,1,BOSP,balanced,a00,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp013,system_02,5_2_2,BSA,balanced,a00,car_hd,20,2.8,95.8,17780.2,18260,479.8,0.14,4.79,889.01,913.0,23.99
exp013,system_02,5_2_1,CHS,balanced,a00,car_hd,10,1.7,2316.0,48397.7,48700,302.3,0.17,231.6,4839.77,4870.0,30.23
exp013,system_02,5_1_1,FAX,balanced,a00,car_hd,10,0.0,447.4,13038.5,13040,1.5,0.0,44.74,1303.85,1304.0,0.15
exp013,system_02,5,FRONT_AXIS_GROUP,balanced,a00,car_hd,10,2.0,869.0,43138.5,43480,341.5,0.2,86.9,4313.85,4348.0,34.15
exp013,system_02,4,FT,balanced,a00,car_hd,20,2.0,1082.0,41376.6,41740,363.4,0.1,54.1,2068.83,2087.0,18.17
exp013,system_02,5_2_2,RAX_HD,balanced,a00,car_hd,10,0.0,813.2,8698.5,8700,1.5,0.0,81.32,869.85,870.0,0.15
exp013,system_02,5,REAR_AXIS_GROUP,balanced,a00,car_hd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp013,system_02,3,RT,balanced,a00,car_hd,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp013,system_02,5_1_1,SSA,balanced,a00,car_hd,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp013,system_02,1,BOSP,balanced,a00,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp013,system_02,4,BSA,balanced,a00,car_rd,20,2.8,95.8,17780.2,18260,479.8,0.14,4.79,889.01,913.0,23.99
exp013,system_02,3,CORE,balanced,a00,car_rd,10,1.7,3360.0,95347.7,95650,302.3,0.17,336.0,9534.77,9565.0,30.23
exp013,system_02,4,RAX_RD,balanced,a00,car_rd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp013,system_02,2,RT,balanced,a00,car_rd,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp013,system_02,4,BSA,balanced,a00,car_sa,20,2.8,95.8,17780.2,18260,479.8,0.14,4.79,889.01,913.0,23.99
exp013,system_02,4,CSEB-NABS,balanced,a00,car_sa,10,0.0,1770.2,23998.5,24000,1.5,0.0,177.02,2399.85,2400.0,0.15
exp013,system_02,2,FT,balanced,a00,car_sa,20,2.0,1082.0,41376.6,41740,363.4,0.1,54.1,2068.83,2087.0,18.17
exp013,system_02,1,RT,balanced,a00,car_sa,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp013,system_02,3,SSA,balanced,a00,car_sa,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp013,system_02,2,BAT,balanced,a00,car_tl,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp013,system_02,1,BOSP,balanced,a00,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp013,system_02,4,CRE,balanced,a00,car_tl,10,0.0,0.0,-1.5,0,1.5,0.0,0.0,-0.15,0.0,0.15
exp013,system_02,4,FT,balanced,a00,car_tl,20,2.0,1082.0,41376.6,41740,363.4,0.1,54.1,2068.83,2087.0,18.17
exp013,system_02,3,RT,balanced,a00,car_tl,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp014,system_02,2,BAT,balanced,a02,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp014,system_02,1,BOSP,balanced,a02,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp014,system_02,5_2_2,BSA,balanced,a02,car_hd,20,2.8,95.8,17780.2,18260,479.8,0.14,4.79,889.01,913.0,23.99
exp014,system_02,5_2_1,CHS,balanced,a02,car_hd,10,1.7,2316.0,48397.7,48700,302.3,0.17,231.6,4839.77,4870.0,30.23
exp014,system_02,5_1_1,FAX,balanced,a02,car_hd,10,0.0,447.4,13038.5,13040,1.5,0.0,44.74,1303.85,1304.0,0.15
exp014,system_02,5,FRONT_AXIS_GROUP,balanced,a02,car_hd,10,2.0,869.0,43138.5,43480,341.5,0.2,86.9,4313.85,4348.0,34.15
exp014,system_02,4,FT,balanced,a02,car_hd,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp014,system_02,5_2_2,RAX_HD,balanced,a02,car_hd,10,0.0,813.2,8698.5,8700,1.5,0.0,81.32,869.85,870.0,0.15
exp014,system_02,5,REAR_AXIS_GROUP,balanced,a02,car_hd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp014,system_02,3,RT,balanced,a02,car_hd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp014,system_02,5_1_1,SSA,balanced,a02,car_hd,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp014,system_02,1,BOSP,balanced,a02,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp014,system_02,4,BSA,balanced,a02,car_rd,20,2.8,95.8,17780.2,18260,479.8,0.14,4.79,889.01,913.0,23.99
exp014,system_02,3,CORE,balanced,a02,car_rd,10,1.7,3360.0,95347.7,95650,302.3,0.17,336.0,9534.77,9565.0,30.23
exp014,system_02,4,RAX_RD,balanced,a02,car_rd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp014,system_02,2,RT,balanced,a02,car_rd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp014,system_02,4,BSA,balanced,a02,car_sa,20,2.8,95.8,17780.2,18260,479.8,0.14,4.79,889.01,913.0,23.99
exp014,system_02,4,CSEB-NABS,balanced,a02,car_sa,10,0.0,1770.2,23998.5,24000,1.5,0.0,177.02,2399.85,2400.0,0.15
exp014,system_02,2,FT,balanced,a02,car_sa,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp014,system_02,1,RT,balanced,a02,car_sa,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp014,system_02,3,SSA,balanced,a02,car_sa,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp014,system_02,2,BAT,balanced,a02,car_tl,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp014,system_02,1,BOSP,balanced,a02,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp014,system_02,4,CRE,balanced,a02,car_tl,10,0.0,0.0,-1.5,0,1.5,0.0,0.0,-0.15,0.0,0.15
exp014,system_02,4,FT,balanced,a02,car_tl,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp014,system_02,3,RT,balanced,a02,car_tl,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp015,system_02,2,BAT,balanced,a04,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp015,system_02,1,BOSP,balanced,a04,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp015,system_02,5_2_2,BSA,balanced,a04,car_hd,20,2.4,95.8,17858.8,18260,401.2,0.12,4.79,892.94,913.0,20.06
exp015,system_02,5_2_1,CHS,balanced,a04,car_hd,10,1.7,2316.0,48397.7,48700,302.3,0.17,231.6,4839.77,4870.0,30.23
exp015,system_02,5_1_1,FAX,balanced,a04,car_hd,10,0.0,447.4,13038.5,13040,1.5,0.0,44.74,1303.85,1304.0,0.15
exp015,system_02,5,FRONT_AXIS_GROUP,balanced,a04,car_hd,10,2.0,869.0,43138.5,43480,341.5,0.2,86.9,4313.85,4348.0,34.15
exp015,system_02,4,FT,balanced,a04,car_hd,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp015,system_02,5_2_2,RAX_HD,balanced,a04,car_hd,10,0.0,813.2,8698.5,8700,1.5,0.0,81.32,869.85,870.0,0.15
exp015,system_02,5,REAR_AXIS_GROUP,balanced,a04,car_hd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp015,system_02,3,RT,balanced,a04,car_hd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp015,system_02,5_1_1,SSA,balanced,a04,car_hd,20,2.4,48.8,6898.8,7300,401.2,0.12,2.44,344.94,365.0,20.06
exp015,system_02,1,BOSP,balanced,a04,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp015,system_02,4,BSA,balanced,a04,car_rd,20,2.4,95.8,17858.8,18260,401.2,0.12,4.79,892.94,913.0,20.06
exp015,system_02,3,CORE,balanced,a04,car_rd,10,1.7,3360.0,95347.7,95650,302.3,0.17,336.0,9534.77,9565.0,30.23
exp015,system_02,4,RAX_RD,balanced,a04,car_rd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp015,system_02,2,RT,balanced,a04,car_rd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp015,system_02,4,BSA,balanced,a04,car_sa,20,2.4,95.8,17858.8,18260,401.2,0.12,4.79,892.94,913.0,20.06
exp015,system_02,4,CSEB-NABS,balanced,a04,car_sa,10,0.0,1770.2,23998.5,24000,1.5,0.0,177.02,2399.85,2400.0,0.15
exp015,system_02,2,FT,balanced,a04,car_sa,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp015,system_02,1,RT,balanced,a04,car_sa,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp015,system_02,3,SSA,balanced,a04,car_sa,20,2.4,48.8,6898.8,7300,401.2,0.12,2.44,344.94,365.0,20.06
exp015,system_02,2,BAT,balanced,a04,car_tl,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp015,system_02,1,BOSP,balanced,a04,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp015,system_02,4,CRE,balanced,a04,car_tl,10,0.0,0.0,-1.5,0,1.5,0.0,0.0,-0.15,0.0,0.15
exp015,system_02,4,FT,balanced,a04,car_tl,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp015,system_02,3,RT,balanced,a04,car_tl,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp016,system_02,2,BAT,balanced,a06,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp016,system_02,1,BOSP,balanced,a06,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp016,system_02,5_2_2,BSA,balanced,a06,car_hd,20,2.4,95.8,17858.8,18260,401.2,0.12,4.79,892.94,913.0,20.06
exp016,system_02,5_2_1,CHS,balanced,a06,car_hd,10,1.1,2316.0,48511.1,48700,188.9,0.11,231.6,4851.11,4870.0,18.89
exp016,system_02,5_1_1,FAX,balanced,a06,car_hd,10,0.0,447.4,13038.5,13040,1.5,0.0,44.74,1303.85,1304.0,0.15
exp016,system_02,5,FRONT_AXIS_GROUP,balanced,a06,car_hd,10,1.3,869.0,43244.6,43480,235.4,0.13,86.9,4324.46,4348.0,23.54
exp016,system_02,4,FT,balanced,a06,car_hd,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp016,system_02,5_2_2,RAX_HD,balanced,a06,car_hd,10,0.0,813.2,8698.5,8700,1.5,0.0,81.32,869.85,870.0,0.15
exp016,system_02,5,REAR_AXIS_GROUP,balanced,a06,car_hd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp016,system_02,3,RT,balanced,a06,car_hd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp016,system_02,5_1_1,SSA,balanced,a06,car_hd,20,2.4,48.8,6898.8,7300,401.2,0.12,2.44,344.94,365.0,20.06
exp016,system_02,1,BOSP,balanced,a06,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp016,system_02,4,BSA,balanced,a06,car_rd,20,2.4,95.8,17858.8,18260,401.2,0.12,4.79,892.94,913.0,20.06
exp016,system_02,3,CORE,balanced,a06,car_rd,10,1.1,3360.0,95461.1,95650,188.9,0.11,336.0,9546.11,9565.0,18.89
exp016,system_02,4,RAX_RD,balanced,a06,car_rd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp016,system_02,2,RT,balanced,a06,car_rd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp016,system_02,4,BSA,balanced,a06,car_sa,20,2.4,95.8,17858.8,18260,401.2,0.12,4.79,892.94,913.0,20.06
exp016,system_02,4,CSEB-NABS,balanced,a06,car_sa,10,0.0,1770.2,23998.5,24000,1.5,0.0,177.02,2399.85,2400.0,0.15
exp016,system_02,2,FT,balanced,a06,car_sa,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp016,system_02,1,RT,balanced,a06,car_sa,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp016,system_02,3,SSA,balanced,a06,car_sa,20,2.4,48.8,6898.8,7300,401.2,0.12,2.44,344.94,365.0,20.06
exp016,system_02,2,BAT,balanced,a06,car_tl,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp016,system_02,1,BOSP,balanced,a06,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp016,system_02,4,CRE,balanced,a06,car_tl,10,0.0,0.0,-1.5,0,1.5,0.0,0.0,-0.15,0.0,0.15
exp016,system_02,4,FT,balanced,a06,car_tl,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp016,system_02,3,RT,balanced,a06,car_tl,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp017,system_03,2,BAT,hd,a00,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp017,system_03,1,BOSP,hd,a00,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp017,system_03,5_2_2,BSA,hd,a00,car_hd,69,9.66,330.51,61341.69,62997,1655.31,0.14,4.79,889.01,913.0,23.99
exp017,system_03,5_2_1,CHS,hd,a00,car_hd,40,6.8,9264.0,193590.8,194800,1209.2,0.17,231.6,4839.77,4870.0,30.23
exp017,system_03,5_1_1,FAX,hd,a00,car_hd,40,0.0,1789.6,52154.0,52160,6.0,0.0,44.74,1303.85,1304.0,0.15
exp017,system_03,5,FRONT_AXIS_GROUP,hd,a00,car_hd,40,8.0,3476.0,172554.0,173920,1366.0,0.2,86.9,4313.85,4348.0,34.15
exp017,system_03,4,FT,hd,a00,car_hd,80,8.0,4328.0,165506.4,166960,1453.6,0.1,54.1,2068.83,2087.0,18.17
exp017,system_03,5_2_2,RAX_HD,hd,a00,car_hd,34,0.0,2764.88,29574.9,29580,5.1,0.0,81.32,869.85,870.0,0.15
exp017,system_03,5,REAR_AXIS_GROUP,hd,a00,car_hd,40,0.0,11216.0,173914.0,173920,6.0,0.0,280.4,4347.85,4348.0,0.15
exp017,system_03,3,RT,hd,a00,car_hd,80,7.2,6336.0,179577.6,180880,1302.4,0.09,79.2,2244.72,2261.0,16.28
exp017,system_03,5_1_1,SSA,hd,a00,car_hd,80,18.15,195.2,26011.75,29200,3188.25,0.23,2.44,325.15,365.0,39.85
exp018,system_03,2,BAT,hd,a02,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp018,system_03,1,BOSP,hd,a02,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp018,system_03,5_2_2,BSA,hd,a02,car_hd,52,7.28,249.08,46228.52,47476,1247.48,0.14,4.79,889.01,913.0,23.99
exp018,system_03,5_2_1,CHS,hd,a02,car_hd,40,6.8,9264.0,193590.8,194800,1209.2,0.17,231.6,4839.77,4870.0,30.23
exp018,system_03,5_1_1,FAX,hd,a02,car_hd,40,0.0,1789.6,52154.0,52160,6.0,0.0,44.74,1303.85,1304.0,0.15
exp018,system_03,5,FRONT_AXIS_GROUP,hd,a02,car_hd,40,10.25,3476.0,172161.6,173920,1758.4,0.26,86.9,4304.04,4348.0,43.96
exp018,system_03,4,FT,hd,a02,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp018,system_03,5_2_2,RAX_HD,hd,a02,car_hd,26,0.0,2114.32,22616.1,22620,3.9,0.0,81.32,869.85,870.0,0.15
exp018,system_03,5,REAR_AXIS_GROUP,hd,a02,car_hd,40,0.0,11216.0,173914.0,173920,6.0,0.0,280.4,4347.85,4348.0,0.15
exp018,system_03,3,RT,hd,a02,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp018,system_03,5_1_1,SSA,hd,a02,car_hd,80,18.15,195.2,26011.6,29200,3188.4,0.23,2.44,325.14,365.0,39.86
exp019,system_03,2,BAT,hd,a04,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp019,system_03,1,BOSP,hd,a04,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp019,system_03,5_2_2,BSA,hd,a04,car_hd,78,9.36,373.62,69649.32,71214,1564.68,0.12,4.79,892.94,913.0,20.06
exp019,system_03,5_2_1,CHS,hd,a04,car_hd,40,6.8,9264.0,193590.8,194800,1209.2,0.17,231.6,4839.77,4870.0,30.23
exp019,system_03,5_1_1,FAX,hd,a04,car_hd,40,0.0,1789.6,52154.0,52160,6.0,0.0,44.74,1303.85,1304.0,0.15
exp019,system_03,5,FRONT_AXIS_GROUP,hd,a04,car_hd,40,8.0,3476.0,172554.0,173920,1366.0,0.2,86.9,4313.85,4348.0,34.15
exp019,system_03,4,FT,hd,a04,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp019,system_03,5_2_2,RAX_HD,hd,a04,car_hd,39,0.0,3171.48,33924.15,33930,5.85,0.0,81.32,869.85,870.0,0.15
exp019,system_03,5,REAR_AXIS_GROUP,hd,a04,car_hd,40,0.0,11216.0,173914.0,173920,6.0,0.0,280.4,4347.85,4348.0,0.15
exp019,system_03,3,RT,hd,a04,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp019,system_03,5_1_1,SSA,hd,a04,car_hd,80,13.35,195.2,26941.2,29200,2258.8,0.17,2.44,336.76,365.0,28.24
exp020,system_03,2,BAT,hd,a06,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp020,system_03,1,BOSP,hd,a06,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp020,system_03,5_2_2,BSA,hd,a06,car_hd,77,9.24,368.83,68756.38,70301,1544.62,0.12,4.79,892.94,913.0,20.06
exp020,system_03,5_2_1,CHS,hd,a06,car_hd,40,4.4,9264.0,194044.4,194800,755.6,0.11,231.6,4851.11,4870.0,18.89
exp020,system_03,5_1_1,FAX,hd,a06,car_hd,40,0.0,1789.6,52154.0,52160,6.0,0.0,44.74,1303.85,1304.0,0.15
exp020,system_03,5,FRONT_AXIS_GROUP,hd,a06,car_hd,40,5.2,3476.0,172978.4,173920,941.6,0.13,86.9,4324.46,4348.0,23.54
exp020,system_03,4,FT,hd,a06,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp020,system_03,5_2_2,RAX_HD,hd,a06,car_hd,38,0.0,3090.16,33054.3,33060,5.7,0.0,81.32,869.85,870.0,0.15
exp020,system_03,5,REAR_AXIS_GROUP,hd,a06,car_hd,40,0.0,11216.0,173914.0,173920,6.0,0.0,280.4,4347.85,4348.0,0.15
exp020,system_03,3,RT,hd,a06,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp020,system_03,5_1_1,SSA,hd,a06,car_hd,80,13.35,195.2,26941.2,29200,2258.8,0.17,2.44,336.76,365.0,28.24
exp021,system_03,2,BAT,balanced,a00,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp021,system_03,1,BOSP,balanced,a00,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp021,system_03,5_2_2,BSA,balanced,a00,car_hd,20,2.8,95.8,17780.2,18260,479.8,0.14,4.79,889.01,913.0,23.99
exp021,system_03,5_2_1,CHS,balanced,a00,car_hd,10,1.7,2316.0,48397.7,48700,302.3,0.17,231.6,4839.77,4870.0,30.23
exp021,system_03,5_1_1,FAX,balanced,a00,car_hd,10,0.0,447.4,13038.5,13040,1.5,0.0,44.74,1303.85,1304.0,0.15
exp021,system_03,5,FRONT_AXIS_GROUP,balanced,a00,car_hd,10,2.0,869.0,43138.5,43480,341.5,0.2,86.9,4313.85,4348.0,34.15
exp021,system_03,4,FT,balanced,a00,car_hd,20,2.0,1082.0,41376.6,41740,363.4,0.1,54.1,2068.83,2087.0,18.17
exp021,system_03,5_2_2,RAX_HD,balanced,a00,car_hd,10,0.0,813.2,8698.5,8700,1.5,0.0,81.32,869.85,870.0,0.15
exp021,system_03,5,REAR_AXIS_GROUP,balanced,a00,car_hd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp021,system_03,3,RT,balanced,a00,car_hd,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp021,system_03,5_1_1,SSA,balanced,a00,car_hd,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp021,system_03,1,BOSP,balanced,a00,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp021,system_03,4,BSA,balanced,a00,car_rd,20,2.8,95.8,17780.2,18260,479.8,0.14,4.79,889.01,913.0,23.99
exp021,system_03,3,CORE,balanced,a00,car_rd,10,1.7,3360.0,95347.7,95650,302.3,0.17,336.0,9534.77,9565.0,30.23
exp021,system_03,4,RAX_RD,balanced,a00,car_rd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp021,system_03,2,RT,balanced,a00,car_rd,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp021,system_03,4,BSA,balanced,a00,car_sa,20,2.8,95.8,17780.2,18260,479.8,0.14,4.79,889.01,913.0,23.99
exp021,system_03,4,CSEB-NABS,balanced,a00,car_sa,10,0.0,1770.2,23998.5,24000,1.5,0.0,177.02,2399.85,2400.0,0.15
exp021,system_03,2,FT,balanced,a00,car_sa,20,2.0,1082.0,41376.6,41740,363.4,0.1,54.1,2068.83,2087.0,18.17
exp021,system_03,1,RT,balanced,a00,car_sa,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp021,system_03,3,SSA,balanced,a00,car_sa,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp021,system_03,2,BAT,balanced,a00,car_tl,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp021,system_03,1,BOSP,balanced,a00,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp021,system_03,4,CRE,balanced,a00,car_tl,10,0.0,0.0,-1.5,0,1.5,0.0,0.0,-0.15,0.0,0.15
exp021,system_03,4,FT,balanced,a00,car_tl,20,2.0,1082.0,41376.6,41740,363.4,0.1,54.1,2068.83,2087.0,18.17
exp021,system_03,3,RT,balanced,a00,car_tl,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp022,system_03,2,BAT,balanced,a02,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp022,system_03,1,BOSP,balanced,a02,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp022,system_03,5_2_2,BSA,balanced,a02,car_hd,20,2.8,95.8,17780.2,18260,479.8,0.14,4.79,889.01,913.0,23.99
exp022,system_03,5_2_1,CHS,balanced,a02,car_hd,10,1.7,2316.0,48397.7,48700,302.3,0.17,231.6,4839.77,4870.0,30.23
exp022,system_03,5_1_1,FAX,balanced,a02,car_hd,10,0.0,447.4,13038.5,13040,1.5,0.0,44.74,1303.85,1304.0,0.15
exp022,system_03,5,FRONT_AXIS_GROUP,balanced,a02,car_hd,10,2.0,869.0,43138.5,43480,341.5,0.2,86.9,4313.85,4348.0,34.15
exp022,system_03,4,FT,balanced,a02,car_hd,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp022,system_03,5_2_2,RAX_HD,balanced,a02,car_hd,10,0.0,813.2,8698.5,8700,1.5,0.0,81.32,869.85,870.0,0.15
exp022,system_03,5,REAR_AXIS_GROUP,balanced,a02,car_hd,10,0.0,2804.0,43478.5,43480,1.5,0.0,280.4,4347.85,4348.0,0.15
exp022,system_03,3,RT,balanced,a02,car_hd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp022,system_03,5_1_1,SSA,balanced,a02,car_hd,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp022,system_03,1,BOSP,balanced,a02,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
